dataset,method,policy,f1_mean,f1_std,precision_mean,recall_mean,auc_mean,aucpr_mean,event_recall_mean,fpr_mean,false_alarm_events_per_10k_mean
BATADAL,CNN-Autoencoder,val_f1,0.5566431355156114,0.06613580971008862,0.5764603535152469,0.544256120527307,0.8739007376435485,0.6259627033166842,0.75,0.03723310393506265,21.175224986765485
BATADAL,CNN-Autoencoder,train_q99,0.4146817312097448,0.031472902587022955,0.2855682569005631,0.7627118644067797,0.8739007376435485,0.6259627033166842,1.0,0.18087171342862185,209.9876477854244
BATADAL,CNN-Autoencoder,train_q995,0.5037771487169813,0.01546182980264107,0.3865399965049993,0.7250470809792843,0.8739007376435485,0.6259627033166842,1.0,0.10834656784895007,68.81948120698783
BATADAL,LSTM-Autoencoder,val_f1,0.5782395470227285,0.01853650664357342,0.6292196680738656,0.5386064030131826,0.9150049997058997,0.6093501944511477,0.6666666666666666,0.030174695606140816,45.879654137991885
BATADAL,LSTM-Autoencoder,train_q99,0.5517890645924752,0.04393278890865696,0.48637941006362057,0.6403013182674199,0.9150049997058997,0.6093501944511477,0.6666666666666666,0.06317275454385037,105.87612493382743
BATADAL,LSTM-Autoencoder,train_q995,0.5733156674228783,0.04203915514531626,0.5504356475109616,0.5988700564971752,0.9150049997058997,0.6093501944511477,0.6666666666666666,0.04570319392976884,68.81948120698782
BATADAL,Transformer-Autoencoder,val_f1,0.6123045690194212,0.002808233726588437,0.5732351479330285,0.6572504708097928,0.8616721449087242,0.5188658253470062,0.75,0.04587965413799188,24.704429151226403
BATADAL,Transformer-Autoencoder,train_q99,0.18109050654899836,0.02370318755558645,0.09968527084244039,1.0,0.8616721449087242,0.5188658253470062,1.0,0.8586553732133404,160.5787894829716
BATADAL,Transformer-Autoencoder,train_q995,0.3079611247941893,0.11476730378410381,0.19816947051907377,0.8474576271186441,0.8616721449087242,0.5188658253470062,1.0,0.4009175930827598,151.75577907181932
Gas Pipeline,Mahalanobis Distance,val_f1,0.4631332251667568,0.0,0.36229022704837116,0.6417686734948789,0.7294919953222867,0.5412699122188114,0.8553712834304498,0.316091150566196,2542.2899482734515
Gas Pipeline,Mahalanobis Distance,train_q99,0.4185959903171746,0.0,0.8220380302291566,0.28078940794404195,0.7294919953222867,0.5412699122188114,0.3535036605408636,0.01700918029731115,170.09180297311153
Gas Pipeline,Mahalanobis Distance,train_q995,0.42198785554490253,0.0,0.9078657865786579,0.2748771754517445,0.7294919953222867,0.5412699122188114,0.34289556252801434,0.007805582739177036,78.05582739177035
Gas Pipeline,PCA Reconstruction,val_f1,0.4426206574959198,0.0,0.5029673590504451,0.3952035973020235,0.7328736888624674,0.4930671332499512,0.6030180785895712,0.1092781583484785,1092.781583484785
Gas Pipeline,PCA Reconstruction,train_q99,0.26926015977770057,0.0,0.8122380553227159,0.16137896577566824,0.7328736888624674,0.4930671332499512,0.2575825489317197,0.01043851064821287,104.3851064821287
Gas Pipeline,PCA Reconstruction,train_q995,0.25398625186025087,0.0,0.8525214081826832,0.14922141727038055,0.7328736888624674,0.4930671332499512,0.23576871358135365,0.007223076564611585,72.23076564611586
Gas Pipeline,One-Class SVM,val_f1,0.3555652115826256,0.0033695530307926605,0.219173212566422,0.9427651483609515,0.6095022393078542,0.44053518681218756,0.9514418048707606,0.9398154620438977,1946.1919629681408
Gas Pipeline,One-Class SVM,train_q99,0.35524248441721146,0.0006266419205355603,0.21936623539431035,0.9334110528214948,0.6095022393078542,0.44053518681218756,0.9416803625678569,0.9294313186386441,2034.9659039719154
Gas Pipeline,One-Class SVM,train_q995,0.35133873213205113,0.0013936325019086166,0.2195590456532982,0.879257223748855,0.6095022393078542,0.44053518681218756,0.8979530853130137,0.874605837488544,2179.8934402038
Gas Pipeline,Isolation Forest,val_f1,0.4486610183524527,0.0006074485264352376,0.2899414276915508,0.9913398284619869,0.6347209867956174,0.28288634333591595,0.998256885303053,0.6793187007782282,2853.581247961228
Gas Pipeline,Isolation Forest,train_q99,0.07819132386598791,0.016357827105632376,0.36691694154021154,0.04382823993116274,0.6347209867956174,0.28288634333591595,0.07863937447084018,0.02096245553536201,209.62455535362005
Gas Pipeline,Isolation Forest,train_q995,0.04826793397588347,0.010581829469859702,0.3499573632396673,0.02598051461403947,0.6347209867956174,0.28288634333591595,0.04661586732406992,0.013467542755953214,134.67542755953215
Gas Pipeline,Dense-Autoencoder,val_f1,0.35901717373919456,0.00034088148428453973,0.2229138879780439,0.9345213312238044,0.6414487554189275,0.47334937389375753,0.948403804970367,0.9155133044410272,1607.484039330817
Gas Pipeline,Dense-Autoencoder,train_q99,0.3326202280720349,0.05935750670192557,0.5076779852874727,0.3717489660532379,0.6414487554189275,0.47334937389375753,0.4428507395786643,0.20538391040278361,681.6875592214611
Gas Pipeline,Dense-Autoencoder,train_q995,0.33310937086661135,0.062030445880404975,0.5289135405417857,0.3343325838954118,0.6414487554189275,0.47334937389375753,0.4104786094925046,0.15925718812619413,626.8543113223667
HAI 22.04,Mahalanobis Distance,val_f1,0.2115219260533104,0.0,0.1889400921658986,0.240234375,0.6568036882161017,0.17332153866893396,0.5,0.01237142388528316,28.35117973710724
